micro_ap,CL_ap,CC_ap,macro_ap,micro_roc_auc,CL_roc_auc,CC_roc_auc,macro_roc_auc,cutoff,model,from,to
0.9482109481263168,0.9610871413140056,0.6489599514292883,0.8050235463716471,0.9531915959060524,0.9643587159259314,0.6647577298736382,0.8145582228997847,0.2,SAGE,OLD,OLD
0.9479450874770508,0.9609272097714696,0.6484603133419101,0.8046937615566898,0.9534308288139404,0.9646575578442584,0.6649607932548134,0.8148091755495359,0.2,SAGE,OLD,OLD
0.9485791614569554,0.9614634484852416,0.6511662181789015,0.8063148333320715,0.953567076159608,0.9647118536842956,0.6671221774015842,0.8159170155429399,0.2,SAGE,OLD,OLD
0.9477759255332432,0.960651455415362,0.6481551466590392,0.8044033010372006,0.9534120685477032,0.9645264061559824,0.6661562552449551,0.8153413307004688,0.2,SAGE,OLD,OLD
0.9488324232621744,0.9614944402910726,0.6533224554904986,0.8074084478907856,0.953681075342095,0.9647348590418292,0.6680305422140838,0.8163827006279565,0.2,SAGE,OLD,OLD
0.947026341838679,0.9593099492243514,0.6550511405928892,0.8071805449086202,0.952995065942574,0.9626457326577664,0.674723368576648,0.8186845506172071,0.4,SAGE,OLD,OLD
0.9475528753586402,0.9594196285010026,0.6601152797300144,0.8097674541155084,0.953204206311991,0.9626828991046852,0.6769168353409226,0.819799867222804,0.4,SAGE,OLD,OLD
0.9471623077797108,0.9596114806340168,0.6529268766322084,0.8062691786331126,0.9530434957733902,0.9627312501829104,0.6735882224472397,0.818159736315075,0.4,SAGE,OLD,OLD
0.947009190006857,0.9593299677229612,0.6542335177751161,0.8067817427490387,0.9528882030165762,0.962577540468126,0.6723665596764957,0.8174720500723109,0.4,SAGE,OLD,OLD
0.9471336279806992,0.9594657623310314,0.6566019458974928,0.8080338541142621,0.9527920291777302,0.9624503627321792,0.676199041263875,0.819324701998027,0.4,SAGE,OLD,OLD
0.9507653193782598,0.9556598802612738,0.6983734480124247,0.8270166641368493,0.9556008844974264,0.959439144646326,0.7142507746452802,0.8368449596458031,0.6000000000000001,SAGE,OLD,OLD
0.948724833058488,0.9535939779122712,0.6986556342943202,0.8261248061032956,0.9545807354724156,0.9584165156173068,0.7120282836650476,0.8352223996411772,0.6000000000000001,SAGE,OLD,OLD
0.9499965574925766,0.9549861646671792,0.7001361270410364,0.8275611458541079,0.9548926052205464,0.9587446888560316,0.7158423839146428,0.8372935363853372,0.6000000000000001,SAGE,OLD,OLD
0.9504803929897254,0.95520280632042,0.704961069720526,0.8300819380204729,0.9550121783115876,0.9587874259561776,0.7177377502059296,0.8382625880810535,0.6000000000000001,SAGE,OLD,OLD
0.9503046758216892,0.9551359959166276,0.70224469418201,0.8286903450493188,0.9548678595865232,0.9587447891894912,0.7124480765876549,0.835596432888573,0.6000000000000001,SAGE,OLD,OLD
0.9441347322611616,0.9464298063844367,0.767295501713127,0.8568626540487818,0.9450080126637488,0.9468211380918456,0.7826223775816071,0.8647217578367263,0.8,SAGE,OLD,OLD
0.9423610824226498,0.9448006054491684,0.7489274209239356,0.8468640131865519,0.9444824505827476,0.9463479152749472,0.7735143127219359,0.8599311139984416,0.8,SAGE,OLD,OLD
0.944055929139847,0.946266178006034,0.7708370164807221,0.858551597243378,0.9454661380000492,0.9472328366437636,0.7865102381981455,0.8668715374209545,0.8,SAGE,OLD,OLD
0.943148532698138,0.945422157797254,0.7604657444693481,0.8529439511333011,0.9448389232292412,0.946663232814998,0.7788273141180714,0.8627452734665346,0.8,SAGE,OLD,OLD
0.944574827208438,0.9469412362570292,0.7612119563460475,0.8540765963015383,0.9456327274637196,0.9474695211645724,0.7827021053973544,0.8650858132809633,0.8,SAGE,OLD,OLD
0.8464660968199633,0.8745814837092067,0.8141262889735494,0.8443538863413781,0.8810273546971087,0.9090594133891878,0.8473552770994447,0.8782073452443162,0.2,SAGE,OLD,LiO
0.845738549643001,0.8725804109076891,0.8143160745986441,0.8434482427531667,0.8820764984354267,0.9096178687842792,0.8478595109748976,0.8787386898795884,0.2,SAGE,OLD,LiO
0.8490852647788798,0.8799754741408536,0.8120402871545017,0.8460078806476776,0.8835589045030416,0.9136474982957624,0.845499376884133,0.8795734375899477,0.2,SAGE,OLD,LiO
0.8613720434004848,0.8981830736232144,0.812294629235222,0.8552388514292182,0.8884122176106684,0.9203821359373776,0.8458652675736027,0.88312370175549,0.2,SAGE,OLD,LiO
0.8436682780597917,0.86938100163451,0.8143690478712046,0.8418750247528572,0.8808961578598751,0.908570567313194,0.8475068151226008,0.8780386912178975,0.2,SAGE,OLD,LiO
0.8577111650705593,0.8993760766820178,0.8291541182226305,0.8642650974523242,0.892526115488413,0.9251564568361104,0.8637642952383426,0.8944603760372265,0.4,SAGE,OLD,LiO
0.8627867722721659,0.9063579245462408,0.830686985473751,0.8685224550099959,0.8971187835057421,0.9301785822485634,0.8647362123894332,0.8974573973189983,0.4,SAGE,OLD,LiO
0.8579806040528692,0.8987941370708276,0.8318040675623959,0.8652991023166117,0.8942161860928579,0.9264356135637476,0.8662555860890356,0.8963455998263916,0.4,SAGE,OLD,LiO
0.8480957600693778,0.8857358355689366,0.8290728936169774,0.857404364592957,0.8874203389294547,0.919554254853312,0.8636546473805655,0.8916044511169388,0.4,SAGE,OLD,LiO
0.8661992041268066,0.910516101213025,0.831750664210017,0.871133382711521,0.8990993328333645,0.9323160768954648,0.8652263080984934,0.8987711924969791,0.4,SAGE,OLD,LiO
