micro_ap,CC_ap,CL_ap,macro_ap,micro_roc_auc,CC_roc_auc,CL_roc_auc,macro_roc_auc,test_time,train_time,cutoff,ablation
0.9699549586330688,0.75113835309802,0.9792875519682287,0.8652129525331244,0.968234626240839,0.7043114519465996,0.9786972081853187,0.8415043300659591,4.103384256362915,30.272222995758057,0.2,HGE
0.9697308552681771,0.7511552789409456,0.9790402380555696,0.8650977584982575,0.9680615339842191,0.7052673676758762,0.9784729660179291,0.8418701668469026,2.0780105590820312,30.272222995758057,0.2,HGE
0.9699339302638444,0.7511547939064699,0.9792395319655005,0.8651971629359851,0.9681490010100042,0.7064912647001176,0.9785523912924757,0.8425218279962967,4.104969024658203,30.272222995758057,0.2,HGE
0.9696931738933701,0.7520709914850839,0.9789330751523209,0.8655020333187025,0.9679289064838672,0.7050424555584283,0.9782607123529934,0.8416515839557108,4.220851898193359,30.272222995758057,0.2,HGE
0.9698012066885422,0.7482277188142239,0.9791657794894222,0.863696749151823,0.9680203770407845,0.7016432258183957,0.9785025949958293,0.8400729104071125,1.741689682006836,30.272222995758057,0.2,HGE
0.9718946436227504,0.7658873524415866,0.981528387785331,0.8737078701134589,0.9703517211915252,0.715951759706722,0.9811619380309267,0.8485568488688243,4.067092180252075,68.13037753105164,0.4,HGE
0.9717414791493241,0.7659292977624479,0.9813960565724529,0.8736626771674504,0.9702791767263066,0.7167363843487318,0.9811206226768653,0.8489285035127985,3.8204376697540283,68.13037753105164,0.4,HGE
0.9718108114768906,0.7633638192734991,0.9815122056099812,0.8724380124417401,0.9703528055919305,0.7135223817099636,0.9812402464440312,0.8473813140769975,2.2382335662841797,68.13037753105164,0.4,HGE
0.9717003900020659,0.7644283485218504,0.9813823494661291,0.8729053489939897,0.970197502763686,0.7141554887328098,0.9810688642695131,0.8476121765011615,3.76963472366333,68.13037753105164,0.4,HGE
0.9716265681656651,0.7629544880943685,0.9813062558560337,0.8721303719752012,0.9702088824769798,0.7133156845914188,0.9810610913978629,0.8471883879946409,2.2736306190490723,68.13037753105164,0.4,HGE
0.9722759872229408,0.7941384504979556,0.9814233422513912,0.8877808963746734,0.9712521901709965,0.746614137396966,0.9814839145543919,0.864049025975679,3.7047877311706543,82.54960012435913,0.6000000000000001,HGE
0.9720052712658596,0.7903260843386761,0.9812450745005479,0.885785579419612,0.9711270713067254,0.7443239392566311,0.9814257836706124,0.8628748614636217,2.1144392490386963,82.54960012435913,0.6000000000000001,HGE
0.9722241114691824,0.7916110481196986,0.9814395799426511,0.8865253140311748,0.9712994255068811,0.7464139931483083,0.9815608489525443,0.8639874210504263,1.700953722000122,82.54960012435913,0.6000000000000001,HGE
0.9721520501681906,0.7924238341296082,0.9813736017942623,0.8868987179619352,0.9711922076919844,0.7462814283492875,0.981490763854609,0.8638860961019482,4.077354431152344,82.54960012435913,0.6000000000000001,HGE
0.9721049321891275,0.7924933889237314,0.9813225665633135,0.8869079777435225,0.9711712999666782,0.7464855318696081,0.9814737993806005,0.8639796656251043,2.9380931854248047,82.54960012435913,0.6000000000000001,HGE
0.969433346017818,0.8192597326226027,0.9794177254806513,0.899338729051627,0.9693023911913884,0.7813735500233245,0.9805202359323852,0.8809468929778549,4.2509284019470215,117.94261860847473,0.8,HGE
0.9698992018306145,0.8182589888946075,0.9799486377318517,0.8991038133132296,0.9696203957598422,0.7811857719145301,0.9808496373833248,0.8810177046489274,3.703307867050171,117.94261860847473,0.8,HGE
0.9694377984588596,0.8202758313941401,0.9793666665531492,0.8998212489736446,0.9694138256982695,0.7841617678208858,0.9805341929903354,0.8823479804056106,3.3684029579162598,117.94261860847473,0.8,HGE
0.9694315924276422,0.8191580022034954,0.9794256564120836,0.8992918293077895,0.9692313272587505,0.7821687088425042,0.9804451727383369,0.8813069407904206,2.5270557403564453,117.94261860847473,0.8,HGE
0.9695692060833844,0.8193409227315042,0.9795371034366422,0.8994390130840733,0.9694337149366369,0.7821702045525646,0.9806281028415357,0.8813991536970501,2.5770516395568848,117.94261860847473,0.8,HGE
0.9574413976392306,0.7355239107325446,0.9704965472075742,0.8530102289700594,0.9539873473453209,0.6872253981845499,0.9702864645361405,0.8287559313603452,2.968963146209717,16.11166739463806,0.2,w/o reverse edges
0.9573649985366826,0.7334411093246485,0.9705405615099925,0.8519908354173205,0.9537911779150415,0.6836158062625355,0.9702921987721981,0.8269540025173667,3.9230189323425293,16.11166739463806,0.2,w/o reverse edges
0.9575579769662843,0.7349076417889882,0.9706944466962584,0.8528010442426233,0.9539952117867215,0.6871555151316684,0.9703958050972731,0.8287756601144707,1.6673896312713623,16.11166739463806,0.2,w/o reverse edges
0.9575080202679088,0.7356312589873159,0.9705146281102612,0.8530729435487885,0.9540413815821258,0.6863020069756043,0.9702688811584566,0.8282854440670304,3.503312826156616,16.11166739463806,0.2,w/o reverse edges
0.9573213780213645,0.7315812650804879,0.970554067134894,0.851067666107691,0.9537611907084191,0.6828101862269201,0.9703286148280579,0.8265694005274891,1.5565063953399658,16.11166739463806,0.2,w/o reverse edges
0.9605230097231092,0.7612491036977879,0.9756103606568285,0.8684297321773082,0.9558583515866832,0.7232818536505451,0.9756483219982903,0.8494650878244177,3.7093961238861084,51.236618995666504,0.4,w/o reverse edges
0.960361299868618,0.7608056631754765,0.9755262397549761,0.8681659514652262,0.9556332849283816,0.7215274310177973,0.9755979582332482,0.8485626946255227,3.875790596008301,51.236618995666504,0.4,w/o reverse edges
