micro_ap,CC_ap,CL_ap,macro_ap,micro_roc_auc,CC_roc_auc,CL_roc_auc,macro_roc_auc,mrr,test_time,train_time,cutoff,feat,dim,interleave,dataset
0.9823891689213838,0.9631476408917904,0.9925634962894552,0.9778555685906227,0.98128722722147,0.9612419958057676,0.9916476247585946,0.9764448102821811,0.9976867544044196,1.013054609298706,29.58400297164917,0.2,jina_v3,1024,True,LiO
0.9825754197002973,0.9634902182405359,0.9926907075115933,0.9780904628760646,0.981407843770028,0.9613712907188251,0.9917051416173156,0.9765382161680703,0.9977571222572977,1.0210909843444824,29.58400297164917,0.2,jina_v3,1024,True,LiO
0.981192808281818,0.9636240509223376,0.9904707326010569,0.9770473917616973,0.9795540687487847,0.961596950226829,0.9886004574281777,0.9750987038275034,0.9957730068157528,1.011411428451538,29.58400297164917,0.2,jina_v3,1024,True,LiO
0.9828962937805261,0.964013522789191,0.9928530930984606,0.9784333079438258,0.9817050974122269,0.9619294272781859,0.9918913155370459,0.9769103714076159,0.9978378388912276,1.0024726390838623,29.58400297164917,0.2,jina_v3,1024,True,LiO
0.9822957118938718,0.9636628209049095,0.9922762969430303,0.9779695589239699,0.9811375719298934,0.9616329788064532,0.9913002997632483,0.9764666392848507,0.997151883329926,0.9736270904541016,29.58400297164917,0.2,jina_v3,1024,True,LiO
0.9825555378664682,0.9613288845154766,0.9940773727720248,0.9777031286437508,0.9809616457584748,0.9593279661396246,0.9929471894016546,0.9761375777706396,0.9976052015446958,1.2469501495361328,60.350393295288086,0.4,jina_v3,1024,True,LiO
0.982600146396009,0.9611766994120676,0.9943163629935605,0.9777465312028141,0.9809368645846772,0.9588988758416561,0.9932576383656336,0.9760782571036448,0.9977307094051533,1.2741303443908691,60.350393295288086,0.4,jina_v3,1024,True,LiO
0.9826805383121507,0.9618071970677561,0.994142555069081,0.9779748760684186,0.9810520655230288,0.9595614920633566,0.9931020234123626,0.9763317577378596,0.9977382192137464,1.017530918121338,60.350393295288086,0.4,jina_v3,1024,True,LiO
0.9825625759755734,0.9614576679728942,0.9941306728088869,0.9777941703908906,0.980910483765509,0.9593215615050504,0.993021182466025,0.9761713719855377,0.9976847338662508,1.0554721355438232,60.350393295288086,0.4,jina_v3,1024,True,LiO
0.9824688371648247,0.9613000206337151,0.9940276242963084,0.9776638224650118,0.9807587002408471,0.9591994101288479,0.9928014305291633,0.9760004203290056,0.9976140145478987,1.0407681465148926,60.350393295288086,0.4,jina_v3,1024,True,LiO
0.9897880040189337,0.9771603403799002,0.9962138833843267,0.9866871118821134,0.9895021660169615,0.9786533183774878,0.995284764340763,0.9869690413591254,0.9990287940983997,1.0163109302520752,109.17763137817383,0.6000000000000001,jina_v3,1024,True,LiO
0.9898165922124172,0.9770889789710782,0.9963781712779576,0.9867335751245179,0.9896031730095934,0.9785465842488872,0.9956258596550684,0.9870862219519778,0.9988716539857819,1.2669119834899902,109.17763137817383,0.6000000000000001,jina_v3,1024,True,LiO
0.9898566410190844,0.9772301060140074,0.9964083625772385,0.986819234295623,0.9896235700661419,0.9786020844999108,0.9956164868309489,0.9871092856654299,0.9990131735387834,1.0216236114501953,109.17763137817383,0.6000000000000001,jina_v3,1024,True,LiO
0.9899238200618184,0.9775225838862059,0.9963863300435094,0.9869544569648576,0.9897299882344447,0.9788593556236873,0.995708369611131,0.9872838626174092,0.9988779207499948,1.0210976600646973,109.17763137817383,0.6000000000000001,jina_v3,1024,True,LiO
0.9899096467039483,0.977552726965774,0.9962909321439282,0.9869218295548511,0.989609484176021,0.9788013097785249,0.9954422183796188,0.9871217640790718,0.9990245498208205,0.9651985168457031,109.17763137817383,0.6000000000000001,jina_v3,1024,True,LiO
0.9926881362452727,0.9839776122534882,0.9972730501927857,0.990625331223137,0.992769867342267,0.9853672979867738,0.9970436852178578,0.9912054916023159,0.99935760480425,1.3409571647644043,146.56374835968018,0.8,jina_v3,1024,True,LiO
0.992133818972951,0.9834922766289866,0.9965988815508147,0.9900455790899007,0.9919631630813961,0.9849643085918264,0.9958382343818081,0.9904012714868172,0.9988313206077133,1.0598864555358887,146.56374835968018,0.8,jina_v3,1024,True,LiO
0.992634875855052,0.9838297257585195,0.9972812754472791,0.9905555006028992,0.9927229686750206,0.9852698537591436,0.997031426814,0.9911506402865717,0.9993745278888393,0.9892830848693848,146.56374835968018,0.8,jina_v3,1024,True,LiO
0.9925928120187861,0.9840277637154515,0.9972156091061984,0.990621686410825,0.9927577048295958,0.9853532838485152,0.9970962671253135,0.9912247754869143,0.999322121902674,0.9884033203125,146.56374835968018,0.8,jina_v3,1024,True,LiO
0.992525134261982,0.9835759211727445,0.9971290492945316,0.9903524852336381,0.9925768642564191,0.9851114169421104,0.9967945075845939,0.9909529622633522,0.9993437941677003,0.9924440383911133,146.56374835968018,0.8,jina_v3,1024,True,LiO
0.9835638501733466,0.9673665256120734,0.9927924936782304,0.9800795096451519,0.9826081157789767,0.9658032712718935,0.9919715206222216,0.9788873959470575,0.9977140263524937,0.9933533668518066,29.396074056625366,0.2,jina_v3,1024,False,LiO
0.9835510392587518,0.9676260824128283,0.9927181924506204,0.9801721374317244,0.9824953924450787,0.965946359934865,0.9917457709796615,0.9788460654572633,0.9978418878366265,1.068349838256836,29.396074056625366,0.2,jina_v3,1024,False,LiO
0.9836049774946076,0.9679025242136796,0.9925900457380961,0.9802462849758878,0.982616523573914,0.9662298930144139,0.9917555760345691,0.9789927345244915,0.9976696783688916,0.9601876735687256,29.396074056625366,0.2,jina_v3,1024,False,LiO
