micro_ap,CC_ap,CL_ap,macro_ap,micro_roc_auc,CC_roc_auc,CL_roc_auc,macro_roc_auc,mrr,test_time,train_time,cutoff,model,dataset
0.9754635506375446,0.9500799207913917,0.9922368494256417,0.9711583851085167,0.9736490096368673,0.9445718127167496,0.9918130797714967,0.9681924462441232,0.9971807623678285,1.1075406074523926,31.175801277160645,0.2,- interleave,LiO
0.9754508036523797,0.9501430851514338,0.9921723531832908,0.9711577191673623,0.9736908529829787,0.9445605010440793,0.9918131478537958,0.9681868244489376,0.997382205074243,0.9765887260437012,31.175801277160645,0.2,- interleave,LiO
0.9755304562886481,0.9505939579439414,0.9919805352551566,0.971287246599549,0.9737175454331539,0.9450009205965924,0.991530162316486,0.9682655414565392,0.9973761980130942,0.9961733818054199,31.175801277160645,0.2,- interleave,LiO
0.9758856700892867,0.9509903359097498,0.9922502861293543,0.971620311019552,0.9740496922942933,0.9454781358847559,0.9916876597879686,0.9685828978363622,0.9974334689677751,0.9779646396636963,31.175801277160645,0.2,- interleave,LiO
0.9756610712903261,0.9507792781004415,0.9923824519807748,0.9715808650406081,0.9738969079155816,0.9452473305366541,0.9920297810346426,0.9686385557856483,0.9973509740354567,0.9227912425994873,31.175801277160645,0.2,- interleave,LiO
0.9727058414912579,0.9363530825589528,0.9934979549948258,0.9649255187768893,0.969670317638268,0.9293875138883727,0.9926212936044692,0.9610044037464209,0.9965937419456844,0.9358315467834473,62.78842616081238,0.4,- interleave,LiO
0.9724891124296426,0.9361693964753095,0.9933266295965623,0.9647480130359358,0.9694162653900262,0.9288983845712631,0.9924407551002697,0.9606695698357663,0.9966025632693383,1.008202075958252,62.78842616081238,0.4,- interleave,LiO
0.9725980426151685,0.9367607872555073,0.9932171333713413,0.9649889603134243,0.9695953884719349,0.9292184354168076,0.9925364848541772,0.9608774601354924,0.9967605007376552,0.9288055896759033,62.78842616081238,0.4,- interleave,LiO
0.9727437915754943,0.9366264564188408,0.9935464778386071,0.9650864671287239,0.9696890514802455,0.929345799226456,0.9927939333581274,0.9610698662922916,0.9967250492840277,0.8867754936218262,62.78842616081238,0.4,- interleave,LiO
0.9722055492134564,0.9361388815520396,0.9930393163612938,0.9645890989566668,0.9690774724477551,0.9286898650783834,0.99217317020825,0.9604315176433167,0.9965057942263704,0.8892607688903809,62.78842616081238,0.4,- interleave,LiO
0.9768441123397483,0.9440889482797963,0.9946020957374979,0.9693455220086471,0.9752615829858492,0.9407063713180861,0.9937792347225443,0.9672428030203152,0.9976344517817834,0.9287936687469482,104.97703003883362,0.6000000000000001,- interleave,LiO
0.9767312091135154,0.9436541650961043,0.9946633101875828,0.9691587376418436,0.975165939012296,0.9402094218694208,0.993913541988298,0.9670614819288594,0.997537410839852,0.8865015506744385,104.97703003883362,0.6000000000000001,- interleave,LiO
0.9768409670689099,0.9440345779070946,0.9946590685167946,0.9693468232119447,0.9752586015054558,0.940494577798118,0.9939244208997112,0.9672094993489146,0.9975990690540734,0.8885946273803711,104.97703003883362,0.6000000000000001,- interleave,LiO
0.9766699251814879,0.9434372610853314,0.9945991600495497,0.9690182105674405,0.9749521803211368,0.9397148007617808,0.9937014636585335,0.9667081322101572,0.9975116592208163,0.9641315937042236,104.97703003883362,0.6000000000000001,- interleave,LiO
0.9770847756878407,0.9447723326907511,0.9945872159420878,0.9696797743164194,0.9753967430577062,0.9410834443118402,0.9936995792915461,0.9673915118016931,0.9976557969398224,0.9252898693084717,104.97703003883362,0.6000000000000001,- interleave,LiO
0.9818629170042192,0.9519880803698642,0.9960765933647748,0.9740323368673195,0.9812867484745437,0.9511359078819299,0.995853062677288,0.973494485279609,0.9983134118643416,0.8898100852966309,141.14533233642578,0.8,- interleave,LiO
0.9815917480845555,0.9512560447295388,0.9960402050434302,0.9736481248864846,0.9810504328853928,0.9503700573193645,0.9958059228762552,0.9730879900978099,0.9981219370259754,0.9020671844482422,141.14533233642578,0.8,- interleave,LiO
0.9818498603882744,0.9520954901215745,0.9960110991941473,0.9740532946578608,0.981295466261811,0.9515673241316323,0.9957035405271363,0.9736354323293843,0.9983328762575598,0.9033839702606201,141.14533233642578,0.8,- interleave,LiO
0.9817489100140103,0.9520454103413011,0.9959483705983314,0.9739968904698162,0.9811889501087533,0.9510269180027,0.9957893389431655,0.9734081284729328,0.9982199690387592,0.9021134376525879,141.14533233642578,0.8,- interleave,LiO
0.981624360672628,0.9515010210406425,0.995858178704173,0.9736795998724077,0.9811048778004016,0.9507157272160679,0.9956972542640645,0.9732064907400662,0.9982525214649013,0.9073483943939209,141.14533233642578,0.8,- interleave,LiO
0.9739186490897438,0.797688256816707,0.9815748543256381,0.8896315555711725,0.9735089693214944,0.7767053275562561,0.9820492274722243,0.8793772775142402,0.9975421232579116,1.8051426410675049,37.138601541519165,0.2,- interleave,OLD
0.973750565134579,0.7970459415318242,0.9814061886067674,0.8892260650692958,0.9733319935717226,0.7761156137396992,0.9818398388898415,0.8789777263147703,0.9974033718707109,1.8779945373535156,37.138601541519165,0.2,- interleave,OLD
0.9739701825671216,0.7978907740070482,0.9816030943998256,0.889746934203437,0.9734375546847754,0.7771267143538059,0.9819146681920145,0.8795206912729101,0.9975569080840047,1.8319389820098877,37.138601541519165,0.2,- interleave,OLD
0.9737619810464151,0.79795360745803,0.9813980210451096,0.8896758142515698,0.9733773645979278,0.7761523140672902,0.9818824393274255,0.8790173766973579,0.9974222709792674,1.7961318492889404,37.138601541519165,0.2,- interleave,OLD
