micro_ap,CC_ap,CL_ap,macro_ap,micro_roc_auc,CC_roc_auc,CL_roc_auc,macro_roc_auc,mrr,test_time,train_time,cutoff,model,noise_ratio,dataset,random_state
0.9144620408687439,0.8726635506252183,0.9616962725630749,0.9171799115941466,0.8784011522159636,0.8197934478791065,0.948492337738855,0.8841428928089807,0.991217056481276,0.34042859077453613,11.922738790512085,0.2,RGCN,0.0,LiO,0
0.9145385246184304,0.8749666177416159,0.9599116559300914,0.9174391368358537,0.878642175868807,0.8229942188874109,0.9455099991813236,0.8842521090343672,0.9912126505273324,0.28763246536254883,11.922738790512085,0.2,RGCN,0.0,LiO,0
0.9153284898784856,0.8735718080424167,0.962492681413252,0.9180322447278344,0.8797547444264197,0.8207494673152921,0.9500272899113504,0.8853883786133212,0.99200037370517,0.2855539321899414,11.922738790512085,0.2,RGCN,0.0,LiO,0
0.9164247000819034,0.8733391890827917,0.9643599966253699,0.9188495928540807,0.8807045289479362,0.8199918326888751,0.9523266389481153,0.8861592358184952,0.9919547802096843,0.3757779598236084,11.922738790512085,0.2,RGCN,0.0,LiO,0
0.9140587872387278,0.8748097888877147,0.9595494258946073,0.917179607391161,0.8778088096406146,0.8226633566827581,0.9448443545592292,0.8837538556209936,0.9912402683405955,0.42928051948547363,11.922738790512085,0.2,RGCN,0.0,LiO,0
0.911474242032963,0.8571308442472791,0.9663798166117293,0.9117553304295043,0.8811272852627753,0.8085006507230282,0.9659837103524704,0.8872421805377493,0.9934018181200717,0.2959733009338379,32.35143566131592,0.4,RGCN,0.0,LiO,0
0.9092680836140481,0.8557897099456003,0.9643232586680937,0.910056484306847,0.8776427023744944,0.8061161195177704,0.9625110182315004,0.8843135688746354,0.9929425992489187,0.2919766902923584,32.35143566131592,0.4,RGCN,0.0,LiO,0
0.9105649981124321,0.8575364994942671,0.9650083379382766,0.9112724187162718,0.8792985714758699,0.8083713401814885,0.9631320505294303,0.8857516953554594,0.9932744359354604,0.33055782318115234,32.35143566131592,0.4,RGCN,0.0,LiO,0
0.9097639906257207,0.8559535054534907,0.9650273905748862,0.9104904480141884,0.8775695671455019,0.8057213920785848,0.9626978087271438,0.8842096004028643,0.9928268574215574,0.29442453384399414,32.35143566131592,0.4,RGCN,0.0,LiO,0
0.9071272663490981,0.8575358502053206,0.9592943147116686,0.9084150824584947,0.8737683794382238,0.8083521618531255,0.9527743621309769,0.8805632619920511,0.9924611637019315,0.33411145210266113,32.35143566131592,0.4,RGCN,0.0,LiO,0
0.8874889336025344,0.8658495303413702,0.9092690623215209,0.8875592963314456,0.8373300685685792,0.8257513191977973,0.8527520258587851,0.8392516725282912,0.9787420679833189,0.3383622169494629,119.95123171806335,0.6000000000000001,RGCN,0.0,LiO,0
0.895809374711769,0.8646410856143619,0.9257965762665304,0.8952188309404462,0.8524767299135986,0.8241378069262355,0.8847205189266643,0.8544291629264499,0.9833570445733103,0.32483816146850586,119.95123171806335,0.6000000000000001,RGCN,0.0,LiO,0
0.8888761063417254,0.864458745227866,0.9127674125071886,0.8886130788675273,0.8405345847012529,0.8256436166639596,0.8592624247427201,0.8424530207033398,0.981073773313863,0.36616969108581543,119.95123171806335,0.6000000000000001,RGCN,0.0,LiO,0
0.8900750566925899,0.866297708550479,0.9136393390477014,0.8899685237990902,0.8412083550348552,0.826365389009417,0.8600650601193844,0.8432152245644007,0.9772817070870318,0.4250366687774658,119.95123171806335,0.6000000000000001,RGCN,0.0,LiO,0
0.8688243624619847,0.864775205486431,0.8753280314467988,0.8700516184666149,0.8036953211390756,0.824363361262595,0.7865012931759896,0.8054323272192923,0.9343153799835202,0.45970749855041504,119.95123171806335,0.6000000000000001,RGCN,0.0,LiO,0
0.919096981638906,0.86629577528327,0.9645215461600161,0.915408660721643,0.9073704290565445,0.8399578324412771,0.9747702648328691,0.9073640486370731,0.9965900456383843,0.7254488468170166,148.61819410324097,0.8,RGCN,0.0,LiO,0
0.9191102046290706,0.8677620277978203,0.9633188240885435,0.9155404259431819,0.9079436692109262,0.8429910318805933,0.9728101130821154,0.9079005724813544,0.9965811842673966,0.35938167572021484,148.61819410324097,0.8,RGCN,0.0,LiO,0
0.9182921000162713,0.8655934710253528,0.9633281850679838,0.9144608280466683,0.9069967157955612,0.8412071048125311,0.972525767691994,0.9068664362522625,0.9963933122551709,0.3648838996887207,148.61819410324097,0.8,RGCN,0.0,LiO,0
0.9180320853634716,0.8651855782811093,0.9635425756124437,0.9143640769467765,0.9069144697507583,0.8394578125130523,0.9741960484270391,0.9068269304700457,0.9967792487477526,0.36701011657714844,148.61819410324097,0.8,RGCN,0.0,LiO,0
0.9172285800979583,0.8657694160728625,0.9615998895854699,0.9136846528291662,0.9047213751213694,0.8391661821673663,0.9702661683891277,0.904716175278247,0.9963173743282377,0.36574578285217285,148.61819410324097,0.8,RGCN,0.0,LiO,0
0.9161035506045074,0.8752856544154659,0.9624852388527355,0.9188854466341008,0.8810432421059171,0.8233597689212694,0.9500017519793902,0.8866807604503297,0.9912019674506093,0.2977118492126465,10.027358055114746,0.2,RGCN,0.0,LiO,1
0.9143721230014601,0.873793123152097,0.9604024084012669,0.9170977657766819,0.8784699051180831,0.8216225410102147,0.9462295965685541,0.8839260687893844,0.9910022122528107,0.28889918327331543,10.027358055114746,0.2,RGCN,0.0,LiO,1
0.9158530954392234,0.8741666924468416,0.963072255994907,0.9186194742208743,0.8809256055056695,0.8217602013592331,0.9513274559360552,0.8865438286476441,0.9917624623307489,0.33261919021606445,10.027358055114746,0.2,RGCN,0.0,LiO,1
